id_disciplina,id_curso,id_ano
108,89,1
147,89,1
69,36,1
24,90,1
24,89,1
147,94,1
58,36,1
59,90,1
59,89,1
128,93,1
107,94,1
108,94,1
80,93,1
77,94,1
146,93,1
147,90,1
147,81,1
120,63,1
25,36,1
24,91,1
107,89,1
120,89,1
67,94,1
23,89,1
120,94,1
137,63,1
145,91,1
76,36,1
108,91,1
19,36,1
108,36,1
84,41,1
58,34,1
58,41,1
39,41,1
39,39,1
36,41,1
6,34,1
5,39,1
127,41,1
76,41,1
22,36,1
76,39,1
110,36,1
4,39,1
58,39,1
8,31,1
29,94,1
56,94,1
108,80,1
104,80,1
104,81,1
104,26,1
104,82,1
104,79,1
17,46,1
18,81,1
30,94,1
56,81,1
92,94,1
67,79,1
137,81,1
136,80,1
35,94,1
136,82,1
144,79,1
108,79,1
108,81,1
52,81,1
10,44,1
144,80,1
30,81,1
144,94,1
135,80,1
67,81,1
137,82,1
4,52,1
108,63,1
137,80,1
44,26,1
56,82,1
29,81,1
44,79,1
44,81,1
120,80,1
23,94,1
145,81,1
30,82,1
144,82,1
120,81,1
18,79,1
23,79,1
56,80,1
107,79,1
67,80,1
67,63,1
56,79,1
51,94,1
144,81,1
107,26,1
120,79,1
22,2,1
137,94,1
23,80,1
23,81,1
107,81,1
18,80,1
29,36,1
22,68,1
19,2,1
95,81,1
138,80,1
30,80,1
18,82,1
144,85,1
16,36,1
22,16,1
107,80,1
29,13,1
107,82,1
88,71,1
55,79,1
29,10,1
120,82,1
82,43,1
28,90,1
28,82,1
28,80,1
8,29,1
109,4,1
33,16,1
33,15,1
33,18,1
33,19,1
135,94,1
108,85,1
72,4,1
29,82,1
59,10,1
29,80,1
138,81,1
55,81,1
9,21,1
25,2,1
8,20,1
7,22,1
8,22,1
7,20,1
22,15,1
56,10,1
16,81,1
22,19,1
30,79,1
145,80,1
73,13,1
92,79,1
145,94,1
55,82,1
137,79,1
13,13,1
147,10,1
133,36,1
147,79,1
68,81,1
22,4,1
68,25,1
147,61,1
42,82,1
42,79,1
68,79,1
6,36,1
120,36,1
126,36,1
137,13,1
22,13,1
68,26,1
68,24,1
117,34,1
20,4,1
34,16,1
9,31,1
34,15,1
34,18,1
8,21,1
34,19,1
9,29,1
139,94,1
97,80,1
18,85,1
105,82,1
18,94,1
97,82,1
33,94,1
105,79,1
97,79,1
105,80,1
120,13,1
111,73,1
107,85,1
47,19,1
46,81,1
108,82,1
46,79,1
47,16,1
46,80,1
46,82,1
96,72,1
70,94,1
147,80,1
22,24,1
37,14,1
