Disciplina,Abreviação
Acordeão,ACORD
Acústica Física,AF
Análise e Técnicas de Composição,ATC
Animação,ANI
Animação 3D,A3D
Área de Integração,AI
Ateliê Infantil,ATL-I
Ateliê Infantojuvenil,ATL-IJ
Ateliê Juvenil,ATL-J
Ateliê Música Infantil,ATL-MI
Atelier Musical,AM
Atividade II,ATV II
Audição Comentada,AC
Aula Prática Concerto (Alunos Guitarra),APCONCERTO
Baixo Contínuo,BAICONT
Baixo Elétrico,BAIELEC
Banda Desenhada,BD
Bandolim,BAND
Bateria,BAT
Bateria Complementar,BATCOMP
Batukanos,BATUKO
Canto,CANTO
Clarinete,CALRI
Classe de Conjunto,CC
Combo,COMB
Comunicação e Empreendorismo,COMEMP
Conjuntos Instrumentais,CONJ-INST
Consort de Bisel,CBISEL
Contrabaixo,CONTRA
Cordofones Tradicionais Madeirenses,CORDOFONE
Coro,CO
Coro de Machico,CM
Coro Infantil,CORO-I
Coro Juvenil,CORO-J
Cravo,CRAV
Design Comunicação e Audiovisuais,DCA
Direção de Orquestra,DO
Dramaturgia,DRM
Educação Física,EDU-F
Ensemble de Cordas de Machico,ECM
Ensemble de Cordofones Madeirenses,ECMAD
Ensemble de Guitarras CLA,ENSGUI
Ensemble de Percussão CLA,ENSPER
Ensemble de Percussão Kids,ENSPERKIDS
Ensemble de Saxofones,ENSSAX
Ensemble de Trompetes CLA,ENSTROMP
Ensemble Vocal Ninfas do Atlântico,NINFAS
Estúdio de Música Antiga,EMA
Estúdio de Ópera,EO
Estudo do Movimento,EMV
Eufónio,EUFO
Fagote,FAGO
Física,FS
Física do Som,FS-SOM
Flauta de Bisel,BISEL
Flauta Transversal,FLATRAN
Formação Auditiva,FA
Formação em Contexto de Trabalho,FCT
Formação Musical,FM
Fotográfica e Video,FOTOVIDEO
Geometria Descritiva,GEOD
Grupo de Guitarras A,GGA
Grupo de Guitarras B,GGB
Grupo de Guitarras CLA,GRGUIT
Grupo de Percussão A,GPA
Grupo de Percussão B,GPB
Guitarra Clássica,GUIT
Guitarra Elétrica,GUIT-ELEC
Guitarra Jazz,GUIT-JAZZ
Harpa,HARPA
História da Cultura e das Artes,HCA
Historia do jazz,HIST-JAZZ
História do Jazz Contemporâneo,HJC
Improvisação (Movimento),IMPROV
Improvisação e criatividade,Impro Cria
Inglês,ING
Iniciação à Formação Musical,IFM
Instrumento - Jazz,INSTJAZZ
Instrumento de Tecla,INSTTEC
Interpretação,INTER
Italiano,IT
Laboratório de Circo,LAB-CIR
Laboratório de Improvisação,LABIMP
Matemática,MAT
Mix Ensemble,ME
Movimento,MOV
Música de Câmara,MC
Musicoterapia,Musicoterapia
Naipe (Alunos Sopro Percussão e Cordas),NAIPE-SPC
Naipe e Orquestra,NAIORQ
Naipe Orquestra e Prática de Acompanhamento,NAIORQPA
Oboé,OBOE
Oficina de Dança,OD
Organologia,ORGANO
Órgão,ORG
Orientações Musicais,ORM
Orquestra de Bandolins e Guitarras,OBG
Orquestra de Guitarras e Bandolins,OGB
Orquestra de Jazz,ORQJAZ
Orquestra de Jazz e Naipe,OJN
Orquestra de Sopros,OS
Orquestra de Sopros A,OSA
Orquestra de Sopros B,OSB
Orquestra de Sopros CLA,OSCLA
Orquestra Sinfónica,ORQ-SINF
Orquestrazinha,ORQZINHA
Percussão,PER
Piano,PIA
Piano Complementar,PIACOMP
Português,PT
Pratica Coral,PC
Produção de Eventos,PRODEVEN
Projeto,PROJ
Projeto e Produção Multimédia,PPM
Projetos Coletivos,PROJC
Projetos Coletivos e Improvisação,PC-IMP
Psicologia,PSI
Psicologia e Sociologia,PSISO
Representação Gráfica,RG
Saxofone,SAX
Si Que Brade,SQB
Sistemas de Informação,SI
SoPraLá,SOPLA
Teclado Aplicado (Alunos Teclas),TECAPLI
Técnicas de Dança,TECDAN
Técnicas de Improvisação,TECIMP
Técnicas de Multimédia,TECMUL
Técnicas de Produção Teatral,TPT
Tecnologia da Música e composição Livre,TMCL
Tecnologias Digitais,TECDIGI
Teoria,TEO
Teoria da Animação,TEOANI
Teoria e Análise Musical,TAM
Treino Auditivo,TA
Trombone,TBONE
Trompa,TMPA
Trompete,TPETE
Tuba,TUBA
Tukanitos,T
Tuna de Bandolins CLA,TUNA
Uníssono,UN
Vídeo e Redes Sociais,VRS
Viola d'arco,VARCO
Violino,VIO
Violoncelo,VIOCELO
Voz,VOZ
