Turma,Ano,id_curso,id_edificio
POP Rock,1,1,9
POP Rock 2,2,1,9
FNC - 6.ºGrau - Canto,10,2,1
FNC - 7.ºGrau - Canto,11,2,1
FNC - 8.ºGrau - Canto,12,2,1
Jazz I - CL,1,3,1
CAM 1 FA 2024/2025,1,9,18
CL - For. Adulto - 1.º Grau,1,9,1
FNC 1 FA 2024/2025,1,9,1
CL - For. Adulto - 2.º Grau,2,9,1
CL - For. Adulto - 3.º Grau FNC,3,10,1
CL - Jazz I,1,12,1
CL - Jazz II,2,12,1
CL - Jazz III,3,12,1
FNC - CLDO,1,13,1
CLA - Canto - 1.º Nível - Básico,5,14,9
CLA - Canto - 2.º Nível - Básico,6,14,9
CLA - Canto - 3.º Nível - Básico,7,15,9
CLA - Canto - 4.º Nível - COMP,8,15,9
CLA - Canto - 5.º Nível - COMP,9,15,9
CLA - Canto - 1.º Nível - INI,1,17,9
CML-CLA-Canto - 1.º Nível - INI,1,17,4
CLA - Canto - 3.º Nível - INI,3,17,9
CLA - Canto - 4.º Nível - INI,4,17,9
CLA - Canto - 6.º Nível - COMP,10,18,9
CLA - Canto - P.D. Pessoal 11,11,18,9
CLA - Canto - P.D. Pessoal 12,12,18,9
SMT - CLA - Dança-1.ºNível-BAS,5,19,14
SMT - CLA - Dança-2.ºNível-BAS,6,19,14
SMT - CLA - Dança-3.ºNível-BAS,7,20,14
SMT - CLA - Dança-4.ºNível-COM,8,20,14
SMT - CLA - Dança-5.ºNível-COM,9,20,14
SMT - CLA - Dança-1.ºNível - INI,1,21,14
SMT - CLA - Dança-2.ºNível - INI,2,21,14
SMT - CLA - Dança-3.ºNível - INI,3,21,14
SMT - CLA - Dança-4.ºNível - INI,4,21,14
SMT - CLA - Dança-6.ºNível-COM,10,22,14
SMT - CLA - Dança-P.D.Pessoal 11,11,22,14
SMT - CLA - Dança-P.D.Pessoal 12,12,22,14
LEV - CLA - CMM - Básico 2,6,23,9
LEV - CLA - CMM - Básico 3,7,24,9
LEV - CLA - CMM - Complementar 4,8,24,9
LEV - CLA - CMM - Complementar 5,9,24,9
LEV - CLA - CMM - Iniciação 1,1,25,9
LEV - CLA - CMM - Iniciação 2,2,25,9
INS 2 LEV - CLA - CMM - Básico 2,6,27,9
SMT - CLA - Teatro-1.ºNível BAS,5,28,14
SMT - CLA - Teatro-2.ºNível-BAS,6,28,14
SMT - CLA - Teatro-1.ºNível-INI,1,30,14
SMT - CLA - Teatro-2.ºNível-INI,2,30,14
SMT - CLA - Teatro-3.ºNível-INI,3,30,14
SMT - CLA - Teatro-4.ºNível-INI,4,30,14
CPAEI 1,1,33,14
CPAEI 2,2,33,14
CPAEI 3,3,33,14
CPICT 1,1,34,1
CPICT 2,2,34,1
CPICT 3,3,34,1
CPIJ 1,1,35,1
CPIJ 2,2,35,1
CPIJ 3,3,35,1
CPISP 1,1,36,1
CPISP 2,2,36,1
CPISP 3,3,36,1
CPTA 1,1,38,14
CPTA 2,2,38,14
CPTA 3,3,38,14
CPIDC 1,1,39,14
CPIDC 2,2,39,14
